# fco2  tg0  zy  surfalb  OLR  PALB
  5.99964002E-05  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.18000000E+05  2.25000000E-01
  9.99900010E-05  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.16909786E+05  2.24800000E-01
  2.99910027E-04  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.14214073E+05  2.24200000E-01
  5.99640216E-04  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.12428406E+05  2.23700000E-01
  9.99000999E-04  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.11170493E+05  2.23400000E-01
  2.99102692E-03  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.08167381E+05  2.22500000E-01
  5.96421471E-03  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.06027878E+05  2.21700000E-01
  9.90099010E-03  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.04137874E+05  2.20900000E-01
  2.91262136E-02  2.20000000E+02  0.00000000E+00  2.00000000E-01  9.83822828E+04  2.20500000E-01
  5.66037736E-02  2.20000000E+02  0.00000000E+00  2.00000000E-01  9.34441079E+04  2.20900000E-01
  9.09090909E-02  2.20000000E+02  0.00000000E+00  2.00000000E-01  8.88523236E+04  2.23600000E-01
  2.30769231E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  7.80110174E+04  2.33000000E-01
  3.75000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  7.14581000E+04  2.44700000E-01
  5.00000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  6.78343364E+04  2.60800000E-01
  6.66666667E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  6.53923007E+04  2.92700000E-01
  7.50000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  6.56044885E+04  3.17200000E-01
  8.00000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.33333333E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.57142857E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01 -1.00000000E+00 -1.00000000E+00
  8.75000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  8.88888889E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.00000000E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.09090909E-01  2.20000000E+02  0.00000000E+00  2.00000000E-01  1.00000000E+00 -1.00000000E+00
  9.99999000E-07  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  2.99999100E-06  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  5.99996400E-06  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  9.99990000E-06  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  2.99991000E-05  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  5.99964002E-05  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.78900000E+05  2.14400000E-01
  9.99900010E-05  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.77089501E+05  2.14200000E-01
  2.99910027E-04  2.50000000E+02  0.00000000E+00  2.00000000E-01  1.72542220E+05  2.13800000E-01
